S/N,Job Title,Job Description,Agency,Department
50,"[LTA-TRO] EXECUTIVE/ ENGINEER, ASSET STEWARD & MGMT (TUNNELS)","</strong></p>[LTA-TRO] EXECUTIVE/ ENGINEER, ASSET STEWARD &amp; MANAGEMENT (TUNNELS)<p></p><p><strong> </strong></p><ul><li><p>Knowledge in Computer Science, Electronics Engineering, or relevant engineering disciplines</p></li><li><p>Good writing, communication, and interpersonal skills</p></li><li><p>High motivation with a dynamic approach to problem-solving</p></li><li><p>Ability to perform occasional night work, including weekends</p></li><li><p>Experience with contract management and maintenance management software will be an advantage</p></li><li><p>Candidates without experience are welcome to apply</p></li></ul><p></p><p>As part of the shortlisting process for the role, you may be required to complete a medical declaration and /or undergo further assessment.</p> </strong></p><p>You will be part of the Traffic and Road Operations Group, responsible for managing and maintaining road tunnel traffic management system assets to ensure a safe environment for road users.</p><p></p><p>In this role, you will be involved in maintenance contract management and system implementation, including site supervision, design review, installation, testing, and commissioning. You will collaborate with key stakeholders to maintain traffic management systems and ensure optimal operational performance.</p><p></p><p>Your key responsibilities include:</p><ul><li><p>Planning, coordinating, and supervising maintenance and project activities to ensure conformance to specifications, safety standards, statutory regulations, and operational and maintenance requirements</p></li><li><p>Conducting regular site inspections to ensure contractor work is executed according to contract specifications and timelines</p></li></ul><p></p><p><strong>",Land Transport Authority,Engineering
51,"[LTA-RAOM] SNR / EXEC / ENGINEER, ASSET MGMT (SYSTEMS & PLANNING)","</strong></p>[LTA-RAOM] SNR / EXEC / ENGINEER, ASSET MGMT (SYSTEMS &amp; PLANNING)<p></p><p><strong> </strong></p><p>- Knowledge in Electrical/Electronic/Mechanical/Systems engineering/Railway Engineering/Transport Related Engineering.</p><p>- Specialisations in Engineering Management/Physical Asset Management related disciplines like Life Cycle Management, Reliability/Quality Engineering/Management, Engineering Economy/Finance will be advantageous.</p><p>- Strong conceptualisation, analytical and planning abilities.</p><p>- Excellent writing, speaking and interpersonal skills, and ability to work as a valued team player.</p><p>- Self-motivated, resourceful, able to work independently.</p><p></p><p><span>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</span></p> </strong></p><p>You will assist the management in managing and enhancing the rail asset management framework and ensuring compliance with relevant standards, particularly ISO 55000 series. The focus is on continuous improvement, audit and certification processes, competency development, compliance enforcement, and cost management:</p><p></p><p>a. Review, develop, and enhance LTA’s rail asset management framework, strategies, plans and processes to ensure alignment with organizational goals (LTA’s goals) and international standards (ISO 55000);</p><p></p><p>b. Support the achievement and maintenance of ISO 55001:2024 certification for rail asset management system. Conduct regular internal audits of LTA’s asset management system and continuously review and refine asset management procedures and processes;</p><p></p><p>c. Review, develop and enhance asset management competency programme and materials. Collaborate with other subject matter experts to ensure comprehensive coverage of topics and alignment with current industry standards and best practices;</p><p></p><p>d. Define and review the Asset Management and Maintenance related compliance conditions in the rail operating licences and contracts and work with rail operators to implement and enforce the Operators’ fulfilment of these requirements;  </p><p></p><p>e. Review submissions by rail operators to ensure they comply with the licence requirements; and</p><p></p><p>f. Establish visibility into lifecycle costs of rail systems and infrastructure. Enhance cost management of lifecycle costs and provide lifecycle costs data support to stakeholders </p><p></p><p><strong>",Land Transport Authority,Engineering
52,"[LTA – PT] MANAGER / DEPUTY MANAGER, SINGAPORE BUS ACADEMY","</strong></p>Manager/Deputy Manager, Singapore Bus Academy<p></p><p><strong> </strong></p><p>• Advanced Certificate in Training and Assessment (ACTA) or WSQ Advanced<br />Certificate in Learning and Performance (ACLP) is required.<br /> <br />• Candidates with Diploma in Adult and Continuing Education (DACE) or WSQ Diploma in Design and Development of Learning for Performance (DDDLP) with good curriculum development experience will have an added advantage.<br /> <br />• Passionate in Learning and Development and attentive to details.<br /><br />• Effective communication and written skills.<br /><br />• Proficient in MS Office (Word, PowerPoint and Excel).<br /><br />• Good time management and able to multi-task.<br /><br />• Effective project management and coordination.<br /> <br />• Candidates with relevant working experience in Adult Training on Blended<br />learning and WSQ/SSG framework or training centre operations will have an added<br />advantage.</p><p></p><p>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</p> </strong></p><p><span>We seek passionate individuals to be part of our Singapore Bus Academy (SGBA) team to develop and deliver courses offered under the centralised academy and support the running of the academy dedicated to bus industry professionals.<br /><br />You will need to work with LTA divisions and external stakeholders, such as public transport operators, Institutes of Higher Learning and SkillsFuture Singapore, and external service providers/vendors to develop/revise the curriculum for new/existing courses under the Skills Framework for the public bus industry and conduct centralised training and assessment for bus employees from all public bus operators. You will also need to manage training operations and perform duties including fees setting, budgeting, documentation, project management and other responsibilities required for the running of the academy.<br /><br /></span></p><p></p><p><strong>",Land Transport Authority,Others
53,"[LTA-RLE&M] ASSISTANT PROJECT ENGINEER, CONTROL","</strong></p>ASSISTANT PROJECT ENGINEER, CONTROL<p></p><p><strong> </strong></p><p><span>• Diploma in Mechanical / Electrical / Electronics / Communications / Control Engineering <br />• Strong project management skills<br />• Good communication, written and interpersonal skills<br />• Able to perform shift and night work including weekends<br />• Those without working experience are welcome to apply</span></p><p></p><p><span>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment</span></p> </strong></p><p><span>You will be part of the Rail Group (Electrical and Mechanical) project team and be assigned to work on the Integrated Supervisory and Control System (ISCS).</span><br /><span>You will have an opportunity to work on an integrated system with control centers that are designed to enable operators to supervise, control and coordinate the safe and efficient movement of passengers and trains. The major subsystems and equipment managed by ISCS include automatic train supervision, power supply, environmental control system, fire protection system, communications and passenger information systems.</span></p><p></p><p><strong>",Land Transport Authority,Engineering
54,"[LTA-TRO] SOFTWARE DEVELOPER, TRAFFIC & ROAD INFO TECH","</strong></p>[LTA-TRO] SOFTWARE DEVELOPER, TRAFFIC &amp; ROAD INFORMATION TECHNOLOGY<p></p><p><strong> </strong></p><ul><li><p><strong>Technical Foundation</strong></p><ul><li><p>Knowledge in Computer Science, Software Engineering, or related field, or equivalent practical experience. Prefer candidates with 2 years of experience in software engineering roles with exposure to cloud-based applications.</p></li><li><p>Solid understanding in programming fundamentals with proficiency in at least one modern programming language such as Python, JavaScript, Golang or similar.</p></li><li><p>Strong foundation in computer science concepts including:</p><ul><li><p>Data structures,</p></li><li><p>Algorithms,</p></li><li><p>Object-Oriented Programming principles</p></li></ul></li><li><p>Knowledge of database concepts (SQL, No-SQL) and CI/CD pipeline (GitHub workflows).</p></li><li><p>Familiar with web development technologies (HTML, CSS, JavaScript).</p></li><li><p>Understanding of software development lifecycle, API Design, DevOps principles, version control (Git), and testing methodologies.</p></li></ul></li><li><p><strong>Cloud &amp; AI Awareness</strong></p><ul><li><p>Basic experience with cloud platforms (AWS, Azure, GCP) and understanding of cloud services.</p></li><li><p>Familiarity with containerisation concepts (Docker) and API development.</p></li><li><p>Interest in AI/ML technologies with willingness to learn machine learning frameworks and cloud AI services.</p></li></ul></li><li><p><strong>Agile &amp; Collaboration Skills</strong></p><ul><li><p>Experience working in agile development environments using Scrum or Kanban methodologies.</p></li><li><p>Strong problem-solving abilities and attention to detail.</p></li><li><p>Good communication skills and ability to work effectively in a collaborative team environment.</p></li><li><p>Willingness to learn from senior team members and contribute to team knowledge sharing.</p></li></ul></li></ul><p></p><ul><li><p><strong>Personal Qualities</strong></p><ul><li><p>Strong analytical and thinking skills with a systematic approach to problem solving.</p></li><li><p>Self-motivated, independent and curious.</p></li><li><p>Receptive to feedback and mentorship from senior members.</p></li><li><p>Collaborative mindset with good communication skills.</p></li><li><p>Detailed oriented approach to coding with focus on writing clean, readable code.</p></li><li><p>Reliable and committed to delivering quality work within established timelines.</p></li></ul></li></ul><p></p><p><span>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</span></p><p> </p><ul></ul> </strong></p><p>We are seeking a talented Software Developer to join our dynamic development team, working closely with our Lead Software Developer to build innovative cloud-based software solutions with AI capabilities. This role offers the opportunity to contribute to cutting-edge projects whilst developing expertise in modern cloud technologies, AI integration, and agile development practices. The new IT systems will serve LTA, contractors and government agencies for efficient road and traffic operations and seek to improve the journey of commuters and motorists.</p><p></p><ul><li><p><strong>Software Development &amp; AI Implementation</strong></p><ul><li><p>Develop and maintain scalable, resilient cloud-native applications using modern programming languages and frameworks.</p></li><li><p>Implement AI features by integrating machine learning models, APIs, and cloud AI services into production applications.</p></li><li><p>Write clean, maintainable, and well-documented code that addresses real user needs, following established coding standards and best practices.</p></li><li><p>Participate in code reviews, technical design discussions, architecture reviews and contribute to continuous improvement of development processes.</p></li><li><p>Contribute to robust automated testing frameworks and create comprehensive technical documentation and decision records.</p></li></ul></li></ul><ul><li><p><strong>Cloud Development &amp; Deployment</strong></p><ul><li><p>Build applications leveraging cloud platforms such as AWS, Azure, or Google Cloud Platform, utilising their core services and AI capabilities.</p></li><li><p>Develop microservices, containerised applications, and serverless functions as part of larger system architectures.</p></li><li><p>Collaborate with DevOps teams to deploy applications through CI/CD pipelines and monitor application performance in cloud environments.</p></li></ul></li></ul><ul><li><p><strong>Agile Team Participation</strong></p><ul><li><p>Actively participate in agile ceremonies including daily stand-ups, sprint planning, sprint reviews, and retrospectives.</p></li><li><p>Work collaboratively with the Lead Developer, product owners, and cross-functional team members to deliver features within sprint commitments.</p></li><li><p>Contribute to story estimation, task breakdown, and sprint goal achievement whilst embracing agile principles and continuous learning.</p></li></ul></li></ul><ul><li><p><strong>Learning &amp; Innovation</strong></p><ul><li><p>Stay current with emerging technologies in cloud development, AI/ML, and software engineering practices.</p></li><li><p>Participate in proof-of-concept development and technical spike investigations.</p></li><li><p>Contribute ideas for improving development processes, tools, and product features whilst building expertise in AI integration and cloud-native development.</p></li></ul></li></ul><p></p><p><strong>",Land Transport Authority,Engineering
55,"[LTA-TRO] MANAGER, ENFORCEMENT TRAINING","</strong></p>MANAGER (TRAINING), ENFORCEMENT ENGAGEMENT &amp; TRAINING (EFET)<p></p><p><strong> </strong></p><ul><li><p>Strong interpersonal and communication skills with the ability to interact well with all levels of staff.</p></li><li><p>Able to work independently and is a good team player.</p></li><li><p>Meticulous, resourceful and highly self-motivated.</p></li><li><p>Proficient in Microsoft office applications and has a flair for numbers.</p></li><li><p>Have at least 2 years of experience in Public Sector, preferably in the HR or training</p></li></ul> </strong></p><p>We are seeking a dynamic and motivated individual with strong analytical and communication skills to join the Enforcement Engagement &amp; Training Division (EFET). EFET plays a key role in supporting the divisions in the Enforcement Subgroup in alignment on workforce management. The team’s responsibilities include:</p><p></p><ul><li><p>Collaborate with HR and key stakeholders to review and implement competency frameworks and training roadmaps for enforcement.</p></li><li><p>Manage and review training courses and programmes to ensure that they remain relevant and align to the competency requirement and training needs.</p></li><li><p>Monitor and track staff training roadmap completion as part of their career progression.</p></li><li><p>Develop, review, update and implement job rotation/inter-posting initiatives for the ENF subgroup to support staff’s career progression.</p></li><li><p>Manage and coordinate with HR on WICA medical coverage and staff compensation.</p></li><li><p>Work closely with the Director and Deputy Directors on workforce operations support, such as monitoring of establishment and recruitment status.</p></li><li><p>Review, update, and manage staff empowerment to ensure staff are equipped with the necessary legislation that enables them to perform their duties and sustain operational efficiency.</p></li></ul><p></p><p>As part of the portfolio, you will be required to work closely with multiple stakeholders within LTA.</p><p></p><p>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</p><p></p><p><strong>",Land Transport Authority,Training and Development
56,"[LTA-RL(E&M)] SENIOR / ASSISTANT PROJECT ENGINEER, RAIL (POWER SUPPLY)","</strong></p>SENIOR / ASSISTANT PROJECT ENGINEER, RAIL (POWER SUPPLY SYSTEM)<p></p><p><strong> </strong></p><p>• Diploma in Electrical / Power Engineering <br />• Possessing engineering experience and good knowledge of the fundamental of Power Supply System and principles of power electronics.<br />• Good communication, written and interpersonal skills<br />• Able to perform shift work including weekends<br />• Candidates with strong relevant years of experience will be considered for senior positions<br />• Those without experience are welcome to apply</p><p></p><p>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment</p> </strong></p><p>You will be part of the project team to conduct inspection and supervise the construction activities to ensure that safety, progress, and quality of the work comply with the contract and regulatory requirements. You will monitor the progress of contractor&#39;s site activities and ensure timely completion of the work from delivery, installation and testing &amp; commissioning of system. You will participate in meetings and will be required to liaise with various parties, such as other project teams, contractors and other stakeholders to discuss project issues and any site-related matters. You will also be involved in statutory inspections conducted by external parties. </p><p></p><p>You will support the project team to maintain proper records, including drafting of daily and weekly reports for submission. <br /> </p><p></p><p><strong>",Land Transport Authority,Engineering
57,"[LTA-RLE&M] SENIOR / EXECUTIVE / PROJECT ENGINEER, POWER SUPPLY","</strong></p>SENIOR / EXECUTIVE PROJECT ENGINEER, POWER SUPPLY<p></p><p><strong> </strong></p><p>• Knowledge in Electrical and Electronics Engineering<br />• Relevant experience in large-scale infrastructure projects<br />• Good appreciation of the constraints and interface requirements of civil, electrical and mechanical works<br />• Strong project management and leadership skills, with a proven track record<br />• Good communication and presentation skills<br />• A team player who is analytical, resourceful and result-oriented<br />• Able to perform occasional night works including weekends and public holidays<br />• Those without experience are welcome to apply</p><p></p><p>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment</p> </strong></p><p><span>You will play a lead role in managing power supply contractors in constructing transit projects and preferably have experience in underground MRT stations. You will be responsible for the safety, quality and progress of the contractors’ works. You will also assist the Senior Project Manager in planning and managing the cashflows of the various contracts as well as in issuing instructions and assessing variations/payments/claims. During the course of your work, you will be expected to liaise with various parties such as project teams, contractors, designers and architects to ensure that the power supply to the transit systems is well co-ordinated. You will also liaise with the appointed Railway Operator in reviewing and addressing their feedback appropriately. </span></p><p></p><p><strong>",Land Transport Authority,Engineering
58,"[LTA-RLE&M] EXECUTIVE / PROJECT ENGINEER, TRACKWORK","</strong></p>EXECUTIVE / PROJECT ENGINEER, TRACKWORK<p></p><p><strong> </strong></p><p>• Knowledge in Civil Engineering, familiarity with the relevant local codes and transit construction <br />• Possessing experience in large-scale infrastructure projects<br />• A good appreciation of the constraints and interface requirements of civil and trackwork<br />• Strong project management and leadership skills with proven track records<br />• Good communication (both oral and written) as well as presentation skills<br />• Team player who is analytical, resourceful, and result-oriented <br />• Experience in the construction of Civil Defence shelters and underground MRT stations will be an advantage <br />• Candidate with strong relevant years of experience will be considered for senior positions <br />• Those without experience are welcome to apply</p><p></p><p>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment</p> </strong></p><p>You will play a lead role in managing the Contractors in the construction of new MRT Lines and / or enhancement to Existing Lines. You will be responsible for the safety, quality, progress and environment impact of the Contractors’ works. You will also assist in planning and managing the risks and cashflows of the various contracts as well as the issuance of instructions and assessment of variations/payments/claims. During the course of work, you are expected to liaise with various parties, such as project teams, contractors, designers, architects, stakeholders to ensure the projects are well coordinated. You will also liaise with the appointed Railway Operator to review and address their feedback appropriately.  You will be responsible for managing all aspects of the construction of the track including the planning and schedule of locomotives at depot and mainline. </p><p></p><p><strong>",Land Transport Authority,Engineering
59,"[LTA-RLE&M] EXECUTIVE / PROJECT ENGINEER, SYSTEMS INTEGRATION","</strong></p>EXECUTIVE / PROJECT ENGINEER, SYSTEMS INTEGRATION<p></p><p><strong> </strong></p><p>• Knowledge in Engineering, preferably in Electrical/Electrical and Electronics/Mechanical Engineering<br />• Good appreciation of the constraints and interface requirements of electrical and mechanical works<br />• Interest in project management and large scale infrastructure projects<br />• Good communication, written and presentation skills<br />• Team player who is analytical, resourceful, result-oriented and able to work independently<br />• Those without working experience are welcome to apply, candidates with strong relevant years of experience will be considered for senior positions  </p><p> </p><p>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment</p> </strong></p><p>You will play a lead role in driving the overall process of ensuring that the design and development of multi-disciplinary interfaces among the different electrical and mechanical systems are compatible with the overall performance requirement. This process of managing the system interfaces and integration will be applied throughout from project design, construction and testing and commissioning phases to final completion.</p><p></p><p>You will also review technical submissions and participate in the construction, installation, testing and commissioning of these systems. You will assist Project Managers in resolving system design / system interface / site-related issues within a stipulated timeframe. You are required to manage, supervise, monitor and report project construction, testing and commissioning progress. In addition, you will assist Project Managers in preparing technical specifications, participate in tender evaluation, as well as conduct design review of new rail transit systems.<br /> </p><p></p><p><strong>",Land Transport Authority,Engineering
60,"[LTA-RLE&M] ASSISTANT PROJECT ENGINEER,SYSTEMS INTEGRATION & COMMISSIONING","</strong></p>SENIOR / ASSISTANT PROJECT ENGINEER, SYSTEMS INTEGRATION &amp; COMMISSIONING<p></p><p><strong> </strong></p><p>• Diploma in Mechanical / Electrical / Electronics / Communications / Control Engineering<br />• Interest in project management and large scale infrastructure projects<br />• Good communication, written and interpersonal skills<br />• Able to perform shift and overtime work including weekends<br />• Candidates with strong relevant years of experience will be considered for senior positions<br />• Those without experience are welcome to apply</p><p></p><p>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment</p> </strong></p><p>You will be involved in the overall process of ensuring that the design and development of multi-disciplinary interfaces among the different electrical and mechanical systems are compatible with the overall performance requirement. This process of managing the system interfaces and integration will be applied throughout from project design, construction and testing and commissioning phases to final completion.</p><p></p><p>You will assist in the review of technical submissions and participate in the construction, installation, testing and commissioning of these systems. You will also assist the Engineers in resolving system design / system interface / site-related issues within a stipulated timeframe. You are required to manage, supervise, monitor and report project construction, testing and commissioning progress. In addition, you will provide assistance in preparing technical specifications, participate in tender evaluation, as well as conduct design review of new rail transit systems.<br /> </p><p></p><p><strong>",Land Transport Authority,Engineering
61,"[LTA-RSE] ASSISTANT ENGINEER, DEPOT EQUIPMENT & MAINTENANCE VEHICLES PROJECTS","</strong></p>ASSISTANT ENGINEER, DEPOT EQUIPMENT &amp; MAINTENANCE VEHICLES PROJECTS<p></p><p><strong> </strong></p><p>• Knowledge in Electrical or Mechanical Engineering<br />• A team player who is meticulous, proactive, and responsible<br />• Good writing and communication skills<br />• Good overall computing proficiency including Microsoft Office<br />• Self-driven with strong initiative to learn and willingness to get hands-on experience for site works<br />• Available to perform shift work including weekends and public holidays when necessary<br />• Those without working experience are welcome to apply</p><p></p><p><span>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</span></p> </strong></p><p><span>You will play an integral role in managing depot equipment and maintenance vehicle projects for the new and existing MRT lines, including design review, interfaces, site delivery and installation, testing &amp; commissioning and performance monitoring. You will be required to produce technical reports, and provide administrative support to the projects including managing of incoming and outgoing correspondences, arranging meetings, and writing minutes, etc. You will be working closely with cross functional teams from different disciplines within LTA, appointed Railway Operator, relevant parties and stakeholders to ensure that the projects are well co-ordinated and progress according to the stipulated timeline. </span></p><p></p><p><strong>",Land Transport Authority,Engineering
62,"[LTA-TRO] PRINCIPAL/SENIOR/EXECUTIVE, VEHICLE ENFORCEMENT","</strong></p>PRINCIPAL/SENIOR/EXECUTIVE, VEHICLE ENFORCEMENT<p></p><p><strong> </strong></p><ul><li><p>Knowledge in Communications or Business Management</p></li><li><p>At least 1 to 2 years of working experience, preferably in the service industry</p></li><li><p>Good writing, communication and interpersonal skills</p></li><li><p>Self-motivated and able to work independently and also in a team</p></li><li><p>Good knowledge of Microsoft Outlook, Word, Excel and Power Point</p></li></ul><p></p><p><span>As part of the shortlisting process for the role, you may be required to complete a medical declaration and /or undergo further assessment.</span></p> </strong></p><ul><li><p><span>Handling of public feedback (i.e. EFMS/ECMS) pertaining to vehicle enforcement</span></p></li><li><p><span>Working with internal departments (i.e. CPN/GII/IDS etc.) and external agencies/stakeholders (i.e. SPF/ICA etc.) on vehicle enforcement matters</span></p></li><li><p><span>Collation of statistics and drafting reports to present collated statistics</span></p></li><li><p><span>Collation of reports for processing by other LTA departments </span></p></li><li><p><span>Contract management (i.e. audit and monitoring of contractors’ performance)</span></p></li><li><p><span>Secretariat duties for meetings</span></p></li><li><p><span>Assist in formulating contract/budget papers</span></p></li><li><p><span>Assist in formulating SOP/ROEs/ISO documents pertaining to the administrative functions of the section</span></p></li><li><p><span>Productivity projects to increase Division’s productivity and reduce reliance on manual means</span></p></li></ul><p></p><p><strong>",Land Transport Authority,Enforcement
63,"[LTA-TRO] SNR/ EXECUTIVE/ ENGINEER, ROADS & ROAD FACILITIES MANAGEMENT","</strong></p>[LTA-TRO] SENIOR/ EXECUTIVE/ ENGINEER, ROADS AND ROAD FACILITIES MANAGEMENT (CIVIL)<p></p><p><strong> </strong></p><p>•  Knowledge in Civil or Structural Engineering<br />•  Relevant experience in the following will be an advantage e.g. road design, construction, rehabilitation and maintenance, and material testing<br />•  Good knowledge of construction materials such as asphalt, reinforced concrete, steel etc. preferred<br />•  Good writing and interpersonal skills</p><p>•  Strong problem-solving skills in a dynamic environment</p><p>•  Strong interest in technology and data analysis</p><p>•  Passion for innovation and willing to learn new skills</p><p>•  Those without relevant working experience are also welcome to apply</p><p></p><p>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</p> </strong></p><p>•  Establish, implement and review workflows, regulations, guidelines as well as practices on related road asset maintenance works.</p><p>•  Work with LTA officers, consultants and contractors on inspection, maintenance, upgrading and renewal works.</p><p>•  Managing the daily operation and maintenance of road assets;<br />•  Preparing and issuing instructions / work service orders to contractors and consultants;<br />•  Handling public feedback</p><p>•  Managing site matters / incidents;</p><p>•  Conducting audits; and</p><p>•  Use technology tools and systems to manage road asset maintenance works with a data driven mindset</p><p></p><p><strong>",Land Transport Authority,Engineering
64,"[LTA-TRO] ASSISTANT/ DEPUTY MANAGER, ROAD & PEDESTRIAN SAFETY","</strong></p>[LTA-TRO] ASSISTANT/ DEPUTY MANAGER, ROAD &amp; PEDESTRIAN SAFETY<p></p><p><strong> </strong></p><p><span>[What we are looking for]</span><br /><br /><span>• Knowledge in any discipline</span><br /><span>• At least 2 years’ working experience in a related role, preferably in policy development preferred</span><br /><span>• Proficient in policy implementation and the review and alignment of multiple frameworks/work processes </span><br /><span>• Strong writing and analytical skills, with meticulous attention to detail</span><br /><span>• Good communication, stakeholder management and presentation skills </span><br /><br /><span>Highly organised, with the ability to prioritise and manage multiple projects independently. A team player with a growth mindset, eager to explore and introduce innovative solutions.</span><br /><br /><span>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</span></p> </strong></p><p><span>[What you will be working on]</span><br /><br /><span>You are a proactive and independent problem-solver who thrives on collaboration and getting things done. You will be part of the team that oversees the overall policy and strategies related to traffic and road operations, namely in road and pedestrian safety.</span><br /><br /><span>1. Support the review, development, and implementation of policies related to road and pedestrian safety. </span><br /><br /><span>2. Formulate and develop upstream strategies and framework to build a strong foundation for safety related planning, designs and to guide key engineering decisions, with the intent to further enhance our future road safety decisions. </span><br /><br /><span>3. Work closely with the relevant divisions to drive the formulation, refinement and execution of these policies, striving for results and proactive in overcoming challenges. </span><br /><br /><span>4. Collaborate with agencies to align operational policies and frameworks effectively, and to negotiate if necessary</span><br /><br /><span>5. Stay ahead of emerging trends and drive forward-thinking initiatives to enhance organisational strategies and processes.</span><br /><br /><span>6. Manage and coordinate staffing functions, including secretariat duties, ensuring smooth operations and timely delivery of outcomes.</span><br /><br /><span>7. Prepare and deliver impactful presentations and briefings for forums focused on the Group&#39;s policies and strategic interests.</span><br /><br /><span>8. Monitor multiple projects and deadlines, ensuring alignment with broader organisational goals.</span></p><p></p><p><strong>",Land Transport Authority,Engineering
65,"[LTA-TRO] ASST MANAGER, VIOLATION MGMT","</strong></p>ASST MANAGER, VIOLATION MGMT<p></p><p><strong> </strong></p><p><span>[What we are looking for]</span></p><ul><li><p><span>Knowledge in any discipline</span></p></li><li><p>3–5 years of relevant experience in IT project management, business analysis, or public sector systems</p></li><li><p>Strong communication (verbal and written) and stakeholder management skills</p></li><li><p>Familiarity with government procurement and approval processes is an added advantage</p></li><li><p>Experience in systems development projects with Agile methodology and UI/UX design is a plus</p></li><li><p>Highly organized, proactive, able to work independently and as a team<span> <span>in a fast-paced working environment</span></span></p></li></ul><p><br /><span>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</span></p> </strong></p><p>We are looking for an Assistant Manager to support the implementation of a new Enforcement System. You will work closely with internal / external stakeholders, IT teams, and appointed vendor to ensure successful project execution from initiation through post-deployment.</p><p></p><p><span>[What you will be working on]</span></p><ul><li><p><span>Conduct and coordinate workshops to gather, document, and reconcile business requirements and user expectations</span></p></li><li><p>Prepare and manage submissions and approvals for various aspects of the project</p></li><li><p><span>Assist in the preparation of detailed tender specifications in alignment with business and system requirements</span></p></li><li><p><span>Organize and participate in detailed requirements sessions with stakeholders and vendors following contract award</span></p></li><li><p><span>Work with vendor to translate user inputs and business needs into detailed documentation for system design and implementation</span></p></li><li><p><span>Coordinate and support User Acceptance Test (UAT) planning, execution, issue tracking, and resolution with users and vendors</span></p></li><li><p><span>Support the planning and execution of end-user training sessions to ensure smooth transition to the new system</span></p></li><li><p>Organise and coordinate project meetings, including preparation of agendas and writing minutes of meetings</p></li></ul><p></p><p><strong>",Land Transport Authority,Enforcement
66,"[LTA-IDE] ENGINEER, RAIL DESIGN DEVELOPMENT (CIVIL)","</strong></p>ENGINEER, RAIL DESIGN DEVELOPMENT (CIVIL)<p></p><p><strong> </strong></p><p>• Knowledge in Civil/Structural Engineering or equivalent<br />• At least 3 years of relevant experience in Civil/Structural Engineering design, experience in design development of railway projects would be an advantage.<br />• Team player with good interpersonal and communication skills<br />• Candidates with strong relevant years of experience will be considered for senior roles</p> </strong></p><p><span>You will be involved in the design management of railway projects, overseeing consultants to develop railway schemes and alignments for new rail lines. Your responsibilities include conducting engineering studies (both feasibility and advance engineering studies), coordinating with internal stakeholders and government agencies to incorporate their requirements into design development, safeguarding railway corridors, and securing project budgets. You will prepare design brief, design drawings and tender documents, participate in tender evaluation leading to award of consultants or contractors. You will also develop and review engineering standards as well as providing technical support for project implementation.  </span></p><p></p><p><span>In addition, to meet evolving demographics and demands,  there will also be opportunities to be part of the team involved in the station rejuvenation programme.</span></p><p></p><p><strong>",Land Transport Authority,Engineering
